Car Body;Welding Spot;Date;Fault;Current_mean;Current_max;Current_min;Current_std;Current_range;Force_mean;Force_max;Force_min;Force_std;Force_range;Voltage_mean;Voltage_max;Voltage_min;Voltage_std;Voltage_range;RiskScore
0;0;13/06/2023;0;5,14E+15;7,67E+15;0;3,39E+15;7,67E+15;1,99E+15;3,17E+15;0;1,32E+15;3,17E+15;3,02E+15;5,09E+15;0;2,03E+15;5,09E+15;8
0;1;13/06/2023;0;4,83E+15;7,29E+14;0;3,18E+15;7,29E+14;2,00E+15;3,17E+15;0;1,33E+15;3,17E+15;3,08E+15;4,76E+15;0;2,05E+15;4,76E+15;125
0;2;13/06/2023;0;5,16E+15;7,75E+15;0;3,41E+15;7,75E+15;1,97E+14;3,17E+15;0;1,31E+15;3,17E+15;3,06E+15;4,82E+15;0;2,04E+15;4,82E+15;2
0;3;13/06/2023;0;3,16E+15;6,60E+15;0;3,09E+15;6,60E+15;1,48E+15;3,17E+15;0;1,44E+15;3,17E+15;1,99E+15;5,38E+15;0;1,99E+15;5,38E+15;175
0;4;13/06/2023;0;3,11E+15;6,46E+15;0;3,03E+14;6,46E+15;1,47E+15;3,17E+15;0;1,43E+15;3,17E+15;1,91E+15;4,94E+15;0;1,89E+15;4,94E+15;25
0;5;13/06/2023;0;2,92E+15;6,33E+15;0;2,95E+15;6,33E+15;1,41E+15;3,17E+15;0;1,43E+14;3,17E+15;2,14E+15;5,63E+15;0;2,18E+15;5,63E+15;25
0;6;13/06/2023;0;3,05E+15;6,70E+15;0;3,10E+15;6,70E+15;1,48E+15;3,27E+15;0;1,50E+14;3,27E+15;2,04E+15;5,41E+15;0;2,12E+15;5,41E+15;1
0;7;13/06/2023;0;4,86E+15;8,89E+15;0;3,20E+15;8,89E+15;2,00E+15;3,17E+15;0;1,33E+15;3,17E+15;3,00E+15;5,60E+15;0;2,01E+15;5,60E+15;35
0;8;13/06/2023;0;3,02E+15;6,17E+15;0;2,82E+15;6,17E+15;1,64E+15;3,27E+15;0;1,55E+15;3,27E+15;2,15E+15;5,35E+15;0;2,04E+15;5,35E+15;5
0;9;13/06/2023;1;3,06E+15;6,75E+15;0;3,10E+15;6,75E+15;1,40E+15;3,27E+15;0;1,42E+15;3,27E+15;2,13E+15;5,38E+15;0;2,16E+15;5,38E+15;6,22E+15
